Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist
2000-01-31,0.7805523872375488,0.7814927834208395,0.7109612113820715,0.7598635707569393,701680000,0.7776138454675674,0.7966480569168533,54.77132365940108,-0.002034586706410879,-0.005775709481429057,0.0037411227750181776
2000-02-01,0.7542206048965454,0.7899570213318803,0.7523399126929733,0.7824332480352951,318035200,0.7732173472642898,0.7926073472006334,56.10997989630344,-0.005279830386714202,-0.005676533662486086,0.0003967032757718845
2000-02-02,0.7434055805206299,0.7683269364771473,0.7297694322701553,0.757982928664344,464195200,0.7718301773071289,0.7879214646596807,60.15280559908942,-0.008624968201706329,-0.006266220570330135,-0.002358747631376194
2000-02-03,0.7772613167762756,0.7843148923422115,0.7542206511213999,0.754690849313168,475193600,0.7715715914964676,0.7869062124803088,56.287480873871466,-0.008446769942896948,-0.006702330444843498,-0.0017444394980534496
2000-02-04,0.8125274181365967,0.8275740594128421,0.779612093037055,0.7819630334272543,425320000,0.7764618277549744,0.7893463273047171,57.109365585553356,-0.0053976461849676305,-0.006441393592868326,0.0010437474079006952
2000-02-07,0.8581376075744629,0.859548201971424,0.7970105445459141,0.8125274344812673,441067200,0.7819397896528244,0.7958978778065976,59.080754115297246,0.000691199747883231,-0.005014874924718015,0.005706074672601246
2000-02-08,0.8642507195472717,0.8736542785849802,0.8369784295531247,0.8576672438284796,408643200,0.7883816987276078,0.8024076722580904,57.70570128770595,0.005941441821333715,-0.002823611575507669,0.008765053396841384
2000-02-09,0.8473226428031921,0.8811783183817581,0.8459121486971228,0.8586079014787922,299364800,0.7958580672740936,0.806685288500481,49.11164303570222,0.00863678271614654,-0.0005315327171768274,0.009168315433323368
2000-02-10,0.8539058566093445,0.8567269443977986,0.8275739125908148,0.8492039766631189,302982400,0.8057560324668884,0.8111824854632299,52.281571762106694,0.01117524881808718,0.0018098235898759741,0.009365425228211205
2000-02-11,0.8181696534156799,0.8586078500376669,0.8144081686111304,0.8548463652331174,212251200,0.8102700859308243,0.8118479300301299,52.62462364748901,0.010185971021331564,0.003485053076167092,0.006700917945164472
2000-02-14,0.8713036179542542,0.8717738161194295,0.817229272011534,0.8224013011561164,367539200,0.8160537153482437,0.8175103764990941,53.658543729274264,0.013533423240382758,0.005494727109010226,0.008038696131372532
2000-02-15,0.8952844142913818,0.9023379877714219,0.866601629938005,0.8670718279907252,485744000,0.8217197895050049,0.8249174277174072,58.84559112504081,0.017914841943280413,0.007978750075864263,0.00993609186741615
2000-02-16,0.8586077094078064,0.8887018932243794,0.8435610695164731,0.8858800016093907,378246400,0.8245645582675933,0.8281260259736357,53.78433457007296,0.018217642623575614,0.010026528585406532,0.008191114038169082
